journal,impact_factor
JMIR Bioinformatics and Genomics,2.5
Digital Health,3.3
NPJ Digital Medicine,15.8
Nature Reviews Disease Primers,60.6
Trends in Molecular Medicine,13.6
Annual Review of Medicine,11.4
Journal of Clinical Medicine,3.4
Medicine,1.6
World Journal of Clinical Cases,1.2
Annals of Translational Medicine,3.3
Translational Research,7.8
Clinical and Translational Science,5.5
Journal of Translational Medicine,5.5
Translational Medicine,3.5
Translational Oncology,4.9
Clinical and Translational Medicine,15.0
Translational Psychiatry,5.8
Translational Neurodegeneration,12.6
Translational Stroke Research,6.0
Translational Lung Cancer Research,4.7
Translational Gastroenterology and Hepatology,3.5
Translational Pediatrics,2.5
Translational Immunology,3.0
Trends in Pharmacological Sciences,13.0
Pharmacology & Therapeutics,13.5
Drug Discovery Today,6.4
Expert Opinion on Drug Discovery,4.4
Current Drug Targets,3.0
Current Drug Discovery Technologies,1.8
European Journal of Pharmacology,5.0
Journal of Pharmacy and Pharmacology,2.8
International Journal of Pharmaceutics,5.8
European Journal of Medicinal Chemistry,7.3
Bioorganic & Medicinal Chemistry Letters,2.9
Bioorganic & Medicinal Chemistry,3.2
European Journal of Pharmaceutical Sciences,3.3
Pharmaceutical Research,4.3
Journal of Controlled Release,10.5
Drug Delivery,5.8
Journal of Pharmaceutical and Biomedical Analysis,3.4
Journal of Pharmaceutical Sciences,3.6
AAPS PharmSciTech,3.5
International Journal of Nanomedicine,6.6
Journal of Nanobiotechnology,9.4
Nanomedicine,5.4
Advanced Drug Delivery Reviews,17.9
Biomaterials,14.0
Acta Biomaterialia,9.7
Journal of Materials Chemistry B,7.1
Frontiers in Bioengineering and Biotechnology,3.8
Biofabrication,7.3
Regenerative Medicine,2.5
Stem Cell Research & Therapy,6.4
Stem Cells,5.2
Cell Stem Cell,23.9
Cell Reports,8.8
Stem Cell Research,2.4
Stem Cell Reviews and Reports,2.4
Stem Cell Research and Therapy,6.4
Cytotherapy,4.8
Molecular Therapy,8.9
Gene Therapy,4.5
Human Gene Therapy,3.3
Molecular Therapy - Methods & Clinical Development,5.4
Molecular Therapy - Nucleic Acids,6.0
Cellular & Molecular Life Sciences,8.0
Cellular and Molecular Neurobiology,3.4
Cellular and Molecular Medicine,5.0
Molecular and Cellular Neuroscience,3.1
Molecular and Cellular Probes,2.3
Cellular Physiology and Biochemistry,3.1
Cellular and Molecular Neurobiology,3.4
Cellular and Molecular Medicine,5.0
Brain Research,2.8
Brain Research Bulletin,4.1
Neurobiology of Disease,5.9
Neurobiology of Aging,5.1
Neurobiology of Learning and Memory,2.9
Brain Pathology,5.2
Neuropathology and Applied Neurobiology,4.5
Journal of Neuropathology & Experimental Neurology,5.2
Acta Neuropathologica,17.4
Acta Neuropathologica Communications,10.6
Neuropathology,2.2
Clinical Neuropathology,1.5
Journal of Clinical Pathology,2.8
American Journal of Clinical Pathology,2.4
Diagnostic Pathology,2.4
Pathology - Research and Practice,2.6
Pathology,3.5
Journal of Pathology,5.6
Modern Pathology,5.8
Laboratory Investigation,5.8
Histopathology,5.2
Human Pathology,3.7
BMC Pathology,1.8
Annals of Diagnostic Pathology,1.5
Journal of Investigative Medicine,2.5
Journal of Investigative Medicine High Impact Case Reports,1.0
Academic Emergency Medicine,2.6
Annals of Emergency Medicine,6.3
Emergency Medicine Journal,2.4
Journal of Emergency Medicine,1.5
Western Journal of Emergency Medicine,1.8
African Journal of Emergency Medicine,0.5
European Journal of Emergency Medicine,2.2
Canadian Journal of Emergency Medicine,1.8
Emergency Medicine Australasia,1.6
Prehospital Emergency Care,2.3
Scandinavian Journal of Trauma Resuscitation and Emergency Medicine,2.5
Journal of Trauma and Acute Care Surgery,3.6
Injury,2.4
Journal of Critical Care,3.5
Critical Care,19.3
Intensive Care Medicine,27.0
Critical Care Medicine,8.8
Critical Care Explorations,1.5
Annals of Intensive Care,5.8
Journal of Intensive Care Medicine,2.5
Australian Critical Care,2.3
Nursing in Critical Care,1.8
Journal of Nursing Research,2.5
Journal of Nursing Scholarship,2.3
Nursing Research,2.4
Journal of Advanced Nursing,3.9
Nurse Education Today,2.5
Nurse Education in Practice,2.0
Nurse Educator,1.5
Nurse Education Today,2.5
Journal of Clinical Nursing,4.2
International Journal of Nursing Studies,6.6
Journal of Nursing Management,2.3
Journal of Professional Nursing,2.5
Nursing Outlook,3.0
Nursing Ethics,3.4
Nursing Philosophy,1.8
Nurse Researcher,1.5
Journal of Research in Nursing,1.3
Journal of Nursing Science,0.8
Chinese Nursing Management,0.5
Chinese Journal of Nursing,0.6
Chinese Journal of Modern Nursing,0.4
Chinese Journal of Nursing Education,0.3
Chinese Journal of Emergency Nursing,0.4
Chinese Journal of Critical Care Nursing,0.5
Chinese Journal of Rehabilitation Nursing,0.3
Chinese Journal of Oncology Nursing,0.3
Chinese Journal of Diabetes Nursing,0.3
Chinese Journal of Pediatric Nursing,0.4
Chinese Journal of Gerontological Nursing,0.3
Chinese Journal of Psychiatric Nursing,0.4
Chinese Journal of Perioperative Nursing,0.3
Chinese Journal of Intravenous Nursing,0.4
Chinese Journal of Wound Ostomy Continence Nursing,0.3
